level,word,meaning_ja,Part_of_Speech,category,pronunciation,example_en,example_ja
4級,ago,〜前に,副詞,時間,/əˈɡoʊ/,I met him two days ago.,私は2日前に彼に会いました。
4級,already,すでに・もう,副詞,時間,/ɔːlˈredi/,I have already finished my homework.,私はすでに宿題を終えました。
4級,yet,（否定文で）まだ・（疑問文で）もう,副詞,時間,/jet/,Is it time yet?,もう時間ですか？
4級,early,早く,副詞・形容詞,時間,/ˈɜːrli/,I got up early this morning.,今朝は早く起きました。
4級,late,遅い・遅れて,副詞・形容詞,時間,/leɪt/,Don't be late for school.,学校に遅れてはいけません。
4級,soon,すぐ・まもなく,副詞,時間,/suːn/,I hope you get well soon.,早く良くなることを願っています。
4級,another,もう一つの・別の,形容詞・代名詞,数量,/əˈnʌðər/,Can I have another cup of tea?,もう一杯お茶をいただけますか？
4級,other,他の,形容詞,数量,/ˈʌðər/,I have other plans.,他に予定があります。
4級,become,〜になる,動詞,基本動詞,/bɪˈkʌm/,I want to become a doctor.,私は医者になりたいです。
4級,begin,始まる・始める,動詞,基本動詞,/bɪˈɡɪn/,The movie begins at six.,映画は6時に始まります。
4級,bring,持ってくる,動詞,基本動詞,/brɪŋ/,Please bring some water.,水を持ってきてください。
4級,carry,運ぶ,動詞,基本動詞,/ˈkæri/,He is carrying a big bag.,彼は大きなバッグを運んでいます。
4級,catch,捕まえる,動詞,基本動詞,/kætʃ/,I caught a cold.,風邪を引きました。
4級,clean,掃除する・きれいな,動詞・形容詞,生活,/kliːn/,I clean my room every Sunday.,毎週日曜日に部屋を掃除します。
4級,cook,料理する,動詞,生活,/kʊk/,My father cooks very well.,父は料理がとても上手です。
4級,dance,踊る,動詞,娯楽,/dæns/,She likes to dance.,彼女は踊るのが好きです。
4級,enjoy,楽しむ,動詞,娯楽,/ɪnˈdʒɔɪ/,I enjoyed the party.,パーティーを楽しみました。
4級,feel,感じる,動詞,感覚,/fiːl/,I feel happy today.,今日は幸せな気分です。
4級,find,見つける,動詞,思考,/faɪnd/,I found my lost key.,失くした鍵を見つけました。
4級,forget,忘れる,動詞,思考,/fərˈɡet/,Don't forget your umbrella.,傘を忘れないで。
4級,give,与える,動詞,基本動詞,/ɡɪv/,I gave her a flower.,私は彼女に花をあげました。
4級,hope,望む,動詞,感情,/hoʊp/,I hope so.,そうだといいな。
4級,join,参加する・加わる,動詞,生活,/dʒɔɪn/,Will you join our club?,私たちのクラブに入りませんか？
4級,leave,去る・出発する,動詞,移動,/liːv/,The train leaves at noon.,列車は正午に出発します。
4級,lose,失う・負ける,動詞,勝負,/luːz/,We lost the game.,私たちは試合に負けました。
4級,mean,意味する,動詞,思考,/miːn/,What does this word mean?,この単語はどういう意味ですか？
4級,move,動く・引っ越す,動詞,移動,/muːv/,We moved to a new house.,私たちは新しい家に引っ越しました。
4級,put,置く,動詞,基本動詞,/pʊt/,Put your books on the desk.,机の上に本を置きなさい。
4級,remember,覚えている,動詞,思考,/rɪˈmembər/,I remember your name.,あなたの名前を覚えています。
4級,show,見せる・示す,動詞,伝達,/ʃoʊ/,Show me your picture.,あなたの写真を見せて。
4級,sleep,眠る,動詞,生活,/sliːp/,I slept for eight hours.,私は8時間眠りました。
4級,smile,ほほえむ,動詞,表情,/smaɪl/,She smiled at me.,彼女は私にほほえみました。
4級,stay,滞在する・とどまる,動詞,滞在,/steɪ/,I stayed at home yesterday.,昨日は家にいました。
4級,stop,止まる・やめる,動詞,動作,/stɑːp/,The rain stopped.,雨が止みました。
4級,travel,旅行する,動詞,娯楽,/ˈtrævl/,I want to travel around the world.,世界中を旅行したいです。
4級,try,やってみる・試す,動詞,動作,/traɪ/,I will try my best.,最善を尽くします。
4級,understand,理解する,動詞,思考,/ˌʌndərˈstænd/,I don't understand French.,フランス語はわかりません。
4級,visit,訪れる,動詞,移動,/ˈvɪzɪt/,I visited my aunt last week.,先週おばさんを訪ねました。
4級,wait,待つ,動詞,動作,/weɪt/,Wait for me.,私を待って。
4級,walk,歩く,動詞,移動,/wɔːk/,Let's walk to the park.,公園まで歩きましょう。
4級,wash,洗う,動詞,生活,/wɑːʃ/,Wash your hands.,手を洗いなさい。
4級,win,勝つ,動詞,勝負,/wɪn/,Who won the race?,誰がレースに勝ちましたか？
4級,work,働く・勉強する,動詞,生活,/wɜːrk/,My father works in Tokyo.,父は東京で働いています。
4級,worry,心配する,動詞,感情,/ˈwɜːri/,Don't worry about it.,心配しないで。
4級,beautiful,美しい,形容詞,様子,/ˈbjuːtɪfl/,The sunset is beautiful.,夕焼けが美しいです。
4級,famous,有名な,形容詞,様子,/ˈfeɪməs/,He is a famous writer.,彼は有名な作家です。
4級,favorite,お気に入りの,形容詞,感情,/ˈfeɪvərɪt/,What is your favorite color?,あなたの好きな色は何ですか？
4級,free,暇な・自由な・無料の,形容詞,様子,/friː/,Are you free this weekend?,今週末は暇ですか？
4級,glad,うれしい,形容詞,感情,/ɡlæd/,I am glad to see you.,あなたに会えてうれしいです。
4級,hungry,お腹が空いた,形容詞,体調,/ˈhʌŋɡri/,I am very hungry.,とてもお腹が空いています。
4級,important,重要な,形容詞,様子,/ɪmˈpɔːrtnt/,This is an important meeting.,これは重要な会議です。
4級,interesting,興味深い・面白い,形容詞,様子,/ˈɪntrəstɪŋ/,This book is very interesting.,この本はとても面白い。
4級,kind,親切な・種類,形容詞・名詞,様子・分類,/kaɪnd/,She is very kind.,彼女はとても親切です。
4級,popular,人気のある,形容詞,様子,/ˈpɑːpjələr/,That singer is popular.,あの歌手は人気があります。
4級,ready,準備ができて,形容詞,様子,/ˈredi/,Are you ready?,準備はいいですか？
4級,sick,病気の,形容詞,体調,/sɪk/,I was sick in bed.,病気で寝ていました。
4級,strong,強い,形容詞,様子,/strɔːŋ/,He has strong legs.,彼は足が強いです。
4級,useful,役に立つ,形容詞,様子,/ˈjuːsfl/,The internet is useful.,インターネットは便利です。
4級,young,若い,形容詞,様子,/jʌŋ/,They are still young.,彼らはまだ若いです。
4級,around,〜の周りに・およそ,前置詞・副詞,場所・程度,/əˈraʊnd/,Let's meet around noon.,正午ごろに会いましょう。
4級,during,〜の間（特定の期間）,前置詞,時間,/ˈdʊrɪŋ/,I slept during the class.,授業中に寝てしまいました。
4級,over,〜を超えて・〜の上に,前置詞,場所,/ˈoʊvər/,The bird flew over the tree.,鳥が木の上を飛び越えました。
4級,through,〜を通って,前置詞,場所,/θruː/,Walk through the tunnel.,トンネルを通り抜けて。
4級,without,〜なしで,前置詞,付帯,/wɪˈðaʊt/,I can't see without glasses.,メガネなしでは見えません。
4級,again,また・再び,副詞,頻度,/əˈɡen/,Please say that again.,もう一度言ってください。
4級,almost,ほとんど,副詞,程度,/ˈɔːlmoʊst/,I am almost finished.,ほとんど終わりました。
4級,enough,十分に,副詞・形容詞,程度,/ɪˈnʌf/,I have enough money.,十分なお金を持っています。
4級,especially,特に,副詞,強調,/ɪˈspeʃəli/,I like fruit,especially apples.
4級,maybe,たぶん,副詞,不確実,/ˈmeɪbi/,Maybe he is right.,たぶん彼は正しい。
4級,together,一緒に,副詞,付帯,/təˈɡeðər/,Let's study together.,一緒に勉強しよう。
4級,usually,ふつうは・たいてい,副詞,頻度,/ˈjuːʒuəli/,I usually get up at seven.,私はたいてい7時に起きます。
4級,advice,アドバイス・助言,名詞,伝達,/ədˈvaɪs/,Give me some advice.,助言をください。
4級,air,空気,名詞,自然,/er/,The air is fresh here.,ここは空気が新鮮だ。
4級,airport,空港,名詞,場所,/ˈerpɔːrt/,I'll go to the airport.,空港へ行きます。
4級,area,地域・面積,名詞,場所,/ˈeriə/,In this area.,この地域で。
4級,beach,ビーチ・浜辺,名詞,場所,/biːtʃ/,I go to the beach in summer.,夏にはビーチに行きます。
4級,birthday,誕生日,名詞,行事,/ˈbɜːrθdeɪ/,When is your birthday?,誕生日はいつですか？
4級,city,都市,名詞,場所,/ˈsɪti/,I live in a big city.,私は大都市に住んでいます。
4級,country,国・田舎,名詞,場所,/ˈkʌntri/,Which country do you want to visit?,どの国を訪れたいですか？
4級,dream,夢,名詞,精神,/driːm/,My dream is to be a pilot.,私の夢はパイロットになることです。
4級,earth,地球・地面,名詞,自然,/ɜːrθ/,The earth is round.,地球は丸い。
4級,end,終わり,名詞,時間,/end/,At the end of this month.,今月末に。
4級,example,例,名詞,伝達,/ɪɡˈzæmpl/,For example.,例えば。
4級,experience,経験,名詞,生活,/ɪkˈspɪriəns/,It was a good experience.,それは良い経験でした。
4級,future,未来,名詞,時間,/ˈfjuːtʃər/,In the future.,将来。
4級,hobby,趣味,名詞,娯楽,/ˈhɑːbi/,What is your hobby?,趣味は何ですか？
4級,idea,考え,名詞,思考,/aɪˈdiə/,That's a good idea.,それはいい考えだ。
4級,information,情報,名詞,伝達,/ˌɪnfərˈmeɪʃən/,I need some information.,情報が必要です。
4級,life,生活・命,名詞,生活,/laɪf/,School life is fun.,学校生活は楽しい。
4級,medicine,薬,名詞,体調,/ˈmedsn/,Take this medicine.,この薬を飲みなさい。
4級,memory,思い出・記憶,名詞,精神,/ˈmeməri/,A good memory.,良い思い出。
4級,news,ニュース,名詞,伝達,/nuːz/,Good news!,良い知らせだ！
4級,noise,騒音・音,名詞,感覚,/nɔɪz/,Don't make a noise.,騒がないで。
4級,opinion,意見,名詞,思考,/əˈpɪnjən/,In my opinion.,私の意見では。
4級,part,一部,名詞,分量,/pɑːrt/,This is part of the story.,これは物語の一部です。
4級,plan,計画,名詞,思考,/plæn/,What is your plan for today?,今日の予定は何ですか？
4級,present,プレゼント,名詞,行事,/ˈpreznt/,A birthday present.,誕生日プレゼント。
4級,problem,問題,名詞,思考,/ˈprɑːbləm/,No problem.,問題ありません（どういたしまして）。
4級,reason,理由,名詞,思考,/ˈriːzn/,Tell me the reason.,理由を教えて。
4級,subject,科目,名詞,学校,/ˈsʌbdʒɪkt/,What is your favorite subject?,好きな科目は何ですか？
4級,thing,もの・こと,名詞,物,/θɪŋ/,The first thing.,最初のもの。
4級,trip,旅行,名詞,娯楽,/trɪp/,How was your trip?,旅行はどうだった？
4級,vacation,休暇,名詞,娯楽,/veɪˈkeɪʃən/,Summer vacation.,夏休み。
4級,way,道・方法,名詞,場所・思考,/weɪ/,On my way home.,家に帰る途中で。
4級,weather,天気,名詞,自然,/ˈweðər/,The weather is nice.,天気が良い。
4級,world,世界,名詞,場所,/wɜːrld/,Around the world.,世界中。
4級,afraid,恐れて,形容詞,感情,/əˈfreɪd/,I am afraid of snakes.,私はヘビが怖いです。
4級,angry,怒った,形容詞,感情,/ˈæŋɡri/,My mother was angry with me.,母は私に怒っていました。
4級,careful,注意深い,形容詞,様子,/ˈkerfl/,Be careful with the knife.,ナイフの扱いに注意して。
4級,dark,暗い,形容詞,様子,/dɑːrk/,It's getting dark.,暗くなってきました。
4級,different,違った・異なる,形容詞,様子,/ˈdɪfrənt/,He is different from me.,彼は私とは違います。
4級,excited,ワクワクした,形容詞,感情,/ɪkˈsaɪtɪd/,I'm excited about the trip.,旅行にワクワクしています。
4級,natural,自然な・当然の,形容詞,自然,/ˈnætʃrəl/,Natural food is good for you.,自然な食べ物は体に良い。
4級,polite,丁寧な・礼儀正しい,形容詞,様子,/pəˈlaɪt/,He is always polite.,彼はいつも礼儀正しい。
4級,special,特別な,形容詞,様子,/ˈspeʃl/,Today is a special day.,今日は特別な日です。
4級,strange,奇妙な・見知らぬ,形容詞,様子,/streɪndʒ/,I heard a strange noise.,変な音が聞こえました。
4級,surprised,驚いた,形容詞,感情,/sərˈpraɪzd/,I was surprised at the news.,そのニュースに驚きました。
4級,terrible,ひどい・恐ろしい,形容詞,様子,/ˈterəbl/,I had a terrible dream.,ひどい夢を見ました。
4級,carefully,注意深く,副詞,様子,/ˈkerfəli/,Please listen carefully.,注意深く聞いてください。
4級,easily,簡単に,副詞,様子,/ˈiːzəli/,He can run 10km easily.,彼は10kmを簡単に走れます。
4級,finally,ついに・最後に・やっと,副詞,時間,/ˈfaɪnəli/,Finally,the rain stopped.
4級,slowly,ゆっくりと,副詞,様子,/ˈsloʊli/,Speak more slowly,please.
4級,well,上手に・よく,副詞,様子,/wel/,She plays the piano well.,彼女はピアノを上手に弾きます。
4級,actually,実は・実際に,副詞,強調,/ˈæktʃuəli/,Actually,I don't like natto.
4級,address,住所,名詞,生活,/əˈdres/,Write your address here.,ここに住所を書いてください。
4級,accident,事故,名詞,生活,/ˈæksɪdənt/,He had a car accident.,彼は自動車事故に遭いました。
4級,concert,コンサート,名詞,娯楽,/ˈkɑːnsərt/,The concert starts at 7.,コンサートは7時に始まります。
4級,culture,文化,名詞,社会,/ˈkʌltʃər/,I want to learn about Japanese culture.,日本の文化について学びたいです。
4級,dictionary,辞書,名詞,学校,/ˈdɪkʃəneri/,Use your dictionary.,辞書を使いなさい。
4級,environment,環境,名詞,自然,/ɪnˈvaɪrənmənt/,Protect the environment.,環境を守ろう。
4級,festival,祭り,名詞,行事,/ˈfestɪvl/,Summer festival.,夏祭り。
4級,health,健康,名詞,体調,/helθ/,Eating vegetables is good for your health.,野菜を食べるのは健康に良い。
4級,museum,博物館・美術館,名詞,場所,/mjuˈziːəm/,I went to the science museum.,科学博物館に行きました。
4級,neighbor,隣人,名詞,人,/ˈneɪbər/,My neighbor is very kind.,隣の人はとても親切です。
4級,postcard,はがき,名詞,生活,/ˈpoʊstkɑːrd/,Send me a postcard.,はがきを送ってね。
4級,program,番組・計画,名詞,娯楽,/ˈproʊɡræm/,My favorite TV program.,私のお気に入りのテレビ番組。
4級,secret,秘密,名詞,生活,/ˈsiːkrət/,Keep it a secret.,秘密にしておいて。
4級,stomach,胃・お腹,名詞,体調,/ˈstʌmək/,I have a stomachache.,お腹が痛いです。
4級,ticket,チケット・切符,名詞,生活,/ˈtɪkɪt/,Two tickets for the movie.,映画のチケット2枚。
4級,thought,考え（thinkの過去形）,動詞・名詞,思考,/θɔːt/,I thought you were sleeping.,あなたが寝ているのだと思いました。
4級,brought,持ってきた（bringの過去形）,動詞,基本動詞,/brɔːt/,He brought some cookies.,彼はクッキーを持ってきました。
4級,caught,捕まえた（catchの過去形）,動詞,基本動詞,/kɔːt/,I caught a big fish.,大きな魚を釣りました。
4級,felt,感じた（feelの過去形）,動詞,感覚,/felt/,I felt tired yesterday.,昨日は疲れを感じました。
4級,kept,持ち続けた・保った（keepの過去形）,動詞,基本動詞,/kept/,I kept my promise.,約束を守りました。
4級,left,去った・残した（leaveの過去形）,動詞,移動,/left/,The bus left 5 minutes ago.,バスは5分前に出発しました。
4級,sent,送った（sendの過去形）,動詞,伝達,/sent/,I sent an email to him.,彼にメールを送りました。
4級,spent,費やした（spendの過去形）,動詞,生活,/spent/,I spent all my money.,お金を全部使ってしまいました。
4級,won,勝った（winの過去形）,動詞,勝負,/wʌn/,Our team won the game.,私たちのチームが試合に勝ちました。
4級,broken,壊れた,形容詞,様子,/ˈbroʊkən/,My watch is broken.,私の時計は壊れています。
4級,cheap,安い,形容詞,様子,/tʃiːp/,This bag is very cheap.,このバッグはとても安いです。
4級,expensive,高価な,形容詞,様子,/ɪkˈspensɪv/,That car is too expensive.,あの車は高すぎます。
4級,heavy,重い,形容詞,様子,/ˈhevi/,This box is heavy.,この箱は重いです。
4級,light,軽い・光,形容詞・名詞,様子,/laɪt/,This laptop is very light.,このノートパソコンはとても軽いです。
4級,local,地元の,形容詞,場所,/ˈloʊkl/,I like local food.,私は地元の食べ物が好きです。
4級,main,主な・主要な,形容詞,様子,/meɪn/,The main street of the city.,街のメインストリート。
4級,safe,安全な,形容詞,様子,/seɪf/,It is safe to walk here.,ここを歩くのは安全です。
4級,soft,柔らかい,形容詞,様子,/sɔːft/,A soft bed.,柔らかいベッド。
4級,whole,全体の・すべての,形容詞,分量,/hoʊl/,I ate the whole cake.,ケーキを丸ごと食べました。
4級,believe,信じる,動詞,思考,/bɪˈliːv/,I believe you.,あなたを信じています。
4級,borrow,借りる,動詞,基本動詞,/ˈbɑːroʊ/,Can I borrow your pen?,ペンを借りてもいいですか？
4級,check,確認する,動詞,動作,/tʃek/,Check the schedule.,スケジュールを確認して。
4級,collect,集める,動詞,趣味,/kəˈlekt/,I collect old coins.,私は古い硬貨を集めています。
4級,draw,描く・引く,動詞,芸術,/drɔː/,She can draw pictures well.,彼女は上手に絵を描くことができます。
4級,explain,説明する,動詞,伝達,/ɪkˈspleɪn/,Please explain the rule.,ルールを説明してください。
4級,grow,育つ・育てる,動詞,自然,/ɡroʊ/,Flowers grow in spring.,春に花が育ちます。
4級,happen,起こる,動詞,出来事,/ˈhæpən/,What happened?,何が起きたのですか？
4級,invite,招待する,動詞,生活,/ɪnˈvaɪt/,I invited him to the party.,彼をパーティーに招待しました。
4級,paint,塗る・描く,動詞,芸術,/peɪnt/,I painted the wall white.,壁を白く塗りました。
4級,pick,選ぶ・摘む,動詞,動作,/pɪk/,Pick some flowers.,花を摘みなさい。
4級,save,救う・貯める,動詞,生活,/seɪv/,I'm saving money for a bike.,自転車のためにお金を貯めています。
4級,sound,〜に聞こえる・音,動詞・名詞,感覚,/saʊnd/,That sounds like a good idea.,それはいい考えのようですね。
4級,bridge,橋,名詞,場所,/brɪdʒ/,Walk across the bridge.,橋を渡りなさい。
4級,capital,首都,名詞,場所,/ˈkæpɪtl/,Tokyo is the capital of Japan.,東京は日本の首都です。
4級,earthquake,地震,名詞,自然,/ˈɜːrθkweɪk/,We had a big earthquake.,大きな地震がありました。
4級,island,島,名詞,場所,/ˈaɪlənd/,Japan is an island country.,日本は島国です。
4級,lake,湖,名詞,場所,/leɪk/,They are fishing in the lake.,彼らは湖で釣りをしています。
4級,mountain,山,名詞,場所,/ˈmaʊntn/,I want to climb that mountain.,あの山に登りたいです。
4級,ocean,海・大洋,名詞,場所,/ˈoʊʃn/,The Pacific Ocean.,太平洋。
4級,river,川,名詞,場所,/ˈrɪvər/,This river is very long.,この川はとても長いです。
4級,village,村,名詞,場所,/ˈvɪlɪdʒ/,A small village in the mountains.,山の中の小さな村。
4級,company,会社,名詞,社会,/ˈkʌmpəni/,He works for a computer company.,彼はコンピュータ会社で働いています。
4級,factory,工場,名詞,場所,/ˈfæktəri/,A car factory.,自動車工場。
4級,history,歴史,名詞,学校,/ˈhɪstəri/,I like Japanese history.,私は日本の歴史が好きです。
4級,newspaper,新聞,名詞,伝達,/ˈnuːzpeɪpər/,My father reads the newspaper.,父は新聞を読みます。
4級,president,大統領・社長,名詞,人,/ˈprezɪdənt/,The president of the company.,会社の社長。
4級,science,理科・科学,名詞,学校,/ˈsaɪəns/,Science is my favorite subject.,理科は私の一番好きな科目です。
4級,voice,声,名詞,体,/vɔɪs/,She has a beautiful voice.,彼女は美しい声をしています。
4級,danger,危険,名詞,様子,/ˈdeɪndʒər/,The sign said Danger.,標識に「危険」とありました。
4級,agree,賛成する,動詞,思考,/əˈɡriː/,I agree with you.,私はあなたに賛成です。
4級,answer,答える・答え,動詞・名詞,伝達,/ˈænsər/,Answer the question.,質問に答えなさい。
4級,arrive,到着する,動詞,移動,/əˈraɪv/,The bus arrived on time.,バスは時間通りに到着しました。
4級,build,建てる,動詞,動作,/bɪld/,They are building a new house.,彼らは新しい家を建てています。
4級,change,変える・おつり,動詞・名詞,動作,/tʃeɪndʒ/,I want to change my life.,私は人生を変えたいです。
4級,continue,続ける,動詞,動作,/kənˈtɪnjuː/,Please continue your story.,話を続けてください。
4級,decide,決める,動詞,思考,/dɪˈsaɪd/,I decided to go to America.,私はアメリカに行くことに決めました。
4級,die,死ぬ,動詞,自然,/daɪ/,Many trees died last winter.,去年の冬、多くの木が枯れ（死に）ました。
4級,laugh,笑う,動詞,表情,/læf/,They laughed at the joke.,彼らはそのジョークに笑いました。
4級,learn,学ぶ・習う,動詞,教育,/lɜːrn/,I want to learn more about art.,芸術についてもっと学びたいです。
4級,return,戻る・返す,動詞,移動,/rɪˈtɜːrn/,He will return from Japan soon.,彼はもうすぐ日本から戻ります。
4級,shout,叫ぶ,動詞,動作,/ʃaʊt/,Don't shout in the library.,図書館で叫ばないで。
4級,dry,乾いた,形容詞,様子,/draɪ/,The air is very dry today.,今日は空気がとても乾燥しています。
4級,full,いっぱいの,形容詞,分量,/fʊl/,The bus was full of students.,バスは生徒でいっぱいでした。
4級,rich,豊かな・金持ちの,形容詞,様子,/rɪtʃ/,A rich country.,豊かな国。
4級,wet,濡れた,形容詞,様子,/wet/,My shoes are wet.,靴が濡れています。
4級,outside,外で,副詞・名詞,場所,/ˌaʊtˈsaɪd/,It is cold outside.,外は寒いです。
4級,inside,中で,副詞・名詞,場所,/ˌɪnˈsaɪd/,Let's go inside.,中に入りましょう。
4級,appointment,（会う）約束・予約,名詞,生活,/əˈpɔɪntmənt/,I have an appointment with him.,彼と会う約束があります。
4級,camera,カメラ,名詞,物,/ˈkæmərə/,I bought a new camera.,新しいカメラを買いました。
4級,clothes,服,名詞,生活,/kloʊðz/,I need some new clothes.,新しい服がいくつか必要です。
4級,corner,角・隅,名詞,場所,/ˈkɔːrnər/,Turn left at the corner.,角を左に曲がってください。
4級,feeling,気持ち・感情,名詞,精神,/ˈfiːlɪŋ/,I have a strange feeling.,変な感じがします。
4級,furniture,家具,名詞,生活,/ˈfɜːrnɪtʃər/,We bought some new furniture.,新しい家具をいくつか買いました。
4級,holiday,休日・祝日,名詞,時間,/ˈhɑːlədeɪ/,Today is a national holiday.,今日は国民の祝日です。
4級,language,言語,名詞,社会,/ˈlæŋɡwɪdʒ/,How many languages do you speak?,何ヶ国語話せますか？
4級,message,伝言・メッセージ,名詞,伝達,/ˈmesɪdʒ/,Leave a message.,伝言を残してください。
4級,nurse,看護師,名詞,人,/nɜːrs/,She works as a nurse.,彼女は看護師として働いています。
4級,paper,紙・新聞,名詞,物,/ˈpeɪpər/,Give me a piece of paper.,紙を一枚ください。
4級,pocket,ポケット,名詞,生活,/ˈpɑːkɪt/,Put this in your pocket.,これをポケットに入れなさい。
4級,schedule,予定表・計画,名詞,時間,/ˈskedʒuːl/,Check the schedule.,予定を確認して。
4級,scientist,科学者,名詞,人,/ˈsaɪəntɪst/,He wants to be a scientist.,彼は科学者になりたいと思っています。
4級,trash,ゴミ,名詞,生活,/træʃ/,Don't throw trash here.,ここにゴミを捨てないで。